id,ordem,bloco,ficheiro,tipo,pessoa,ano,evento,duracao_s,in_s,out_s,movimento,texto_ecra,resolucao_ok,voto_tiago,voto_clara,nota_tiago,nota_clara,estado
f0202,111,5,82-43.JPG,foto,Ambos,2020,"Cumplicidades, 2019",4,,,Zoom in,,Nao,,,,,
f0139,112,5,21-49-44.JPG,foto,Tiago,2020,Look à Top Gun,4,,,Zoom out,,Sim,,,,,
f0057,113,5,21-11-1.JPG,foto,Clara,2020,Serralves,4,,,Zoom in,Serralves,Sim,,,,,
f0044,114,5,20-3.JPG,foto,Clara,2020,"Velozes, de preferência",4,,,Zoom out,,Sim,,,,,
f0299,115,5,WhatsApp Image 2021-11-15 at 18.54.22.jpeg,foto,Amigos,2021,Com amigos da Secundária,4,,,Nenhum,,Sim,,,,,
f0252,116,5,Fotos Joana (69).JPG,foto,Ambos,2021,Festa dos 18 anos da Clara,4,,,Zoom out,,Sim,,,,,
f0222,117,5,9-23.JPG,foto,Clara,2021,Gosta de festas,4,,,Zoom in,,Sim,,,,,
f0081,118,5,21-38.jpg,foto,Clara,2022,Caminhadas pelo Parque das Serras do P,4,,,Zoom out,,Sim,,,,,
f0082,119,5,21-39.jpg,foto,Clara,2022,Caminhadas pelo Parque das Serras do P,4,,,Zoom in,,Sim,,,,,
f0087,120,5,21-43.JPG,foto,Clara,2022,"Clara, 2022",4,,,Zoom out,,Sim,,,,,
f0224,121,5,9-24-2.JPG,foto,Clara,2022,"Clara, 2022",4,,,Zoom in,,Sim,,,,,
f0171,122,5,6-4.jpg,foto,Amigos,2022,"Colegas de trabalho (dele), 2025",4,,,Nenhum,,Nao,,,,,
f0253,123,5,IMG-20221118-WA0013.jpg,foto,Amigos,2022,"Colegas de trabalho (dele), 2025",4,,,Zoom in,,Nao,,,,,
f0073,124,5,21-25.JPG,foto,Clara,2022,"Em Roma, espelho de rua",4,,,Zoom out,,Sim,,,,,
f0074,125,5,21-26.JPG,foto,Clara,2022,Florença,4,,,Zoom in,Florença,Sim,,,,,
f0229,126,5,9-24.JPG,foto,Clara,2022,Gosta de festas,4,,,Zoom out,,Sim,,,,,
f0071,127,5,21-23.jpg,foto,Clara,2022,Na Fontana di Trevi. A Anita Ekberg po,4,,,Zoom in,,Nao,,,,,
f0249,128,5,DSC_7700.JPG,foto,Ambos,2022,Na festa dos 18 anos do Henrique,4,,,Zoom out,,Sim,,,,,
f0263,129,5,IMG_3216.JPG,foto,Tiago,2022,Nova York,4,,,Nenhum,Nova York,Sim,,,,,
f0140,130,5,21-49-45.jpeg,foto,Tiago,2022,O maratonista,4,,,Zoom out,,Nao,,,,,
f0264,131,5,IMG_3461.JPG,foto,Tiago,2022,"Tiago, 2022",4,,,Zoom in,,Sim,,,,,
f0319,132,5,IMG-20220807-WA0105.jpg,foto,Clara,2022,"sem contexto, 2014",4,,,Zoom out,,Nao,,,,,
f0320,133,5,IMG-20220829-WA0002.jpg,foto,Clara,2022,"sem contexto, 2014",4,,,Zoom in,,Nao,,,,,
f0085,134,5,21-41.JPG,foto,Clara,2023,Caminhadas pelo Parque das Serras do P,4,,,Zoom out,,Sim,,,,,
f0088,135,5,21-44.JPG,foto,Clara,2023,"Clara, 2022",4,,,Zoom in,,Sim,,,,,
